gene_symbol,node_id,adamic_adar_score,string_connected,gtex_max_median_tpm,clinvar_relevant,composite_score,rationale
Nfe2l2,Gene:83619,4.995480156189294,False,103.81200000000001,False,5.995480156189294,Nfe2l2: literature bridge score 5.00; STRING-connected to a known hEDS/EDS-family gene: False; connective-tissue expression (max median TPM across proxies): 103.8; ClinVar has a connective-tissue-relevant record: False.
Bax,Gene:24887,3.5039243005862857,False,192.78099999999998,False,4.503924300586286,Bax: literature bridge score 3.50; STRING-connected to a known hEDS/EDS-family gene: False; connective-tissue expression (max median TPM across proxies): 192.8; ClinVar has a connective-tissue-relevant record: False.
S100A7,Gene:6278,2.628051091609938,False,71.4669,False,3.628051091609938,S100A7: literature bridge score 2.63; STRING-connected to a known hEDS/EDS-family gene: False; connective-tissue expression (max median TPM across proxies): 71.5; ClinVar has a connective-tissue-relevant record: False.
PPARGC1A,Gene:10891,2.091695814413704,False,7.078989999999999,False,2.799594814413704,PPARGC1A: literature bridge score 2.09; STRING-connected to a known hEDS/EDS-family gene: False; connective-tissue expression (max median TPM across proxies): 7.1; ClinVar has a connective-tissue-relevant record: False.
Myog,Gene:29148,2.307027179056944,False,0.0213269,False,2.309159869056944,Myog: literature bridge score 2.31; STRING-connected to a known hEDS/EDS-family gene: False; connective-tissue expression (max median TPM across proxies): 0.0; ClinVar has a connective-tissue-relevant record: False.
IL23A,Gene:51561,1.5979005053961668,False,2.04478,False,1.8023785053961667,IL23A: literature bridge score 1.60; STRING-connected to a known hEDS/EDS-family gene: False; connective-tissue expression (max median TPM across proxies): 2.0; ClinVar has a connective-tissue-relevant record: False.
